Component,Asp. Rack,Asp. Posi,Dsp. Rack,Dsp. Posi,Volume
A,source,17,Destination_3,F4,5
B,source,18,Destination_3,F4,6
C,source,19,Destination_3,F4,7
D,source,20,Destination_3,F4,8
E,source,21,Destination_3,F4,9
F,source,22,Destination_3,F4,10
1-pALD6,source,4,Destination_3,G4,8
2-pSAC6,source,10,Destination_3,G4,8
3-pRPL18B,source,13,Destination_3,G4,8
etc,source,16,Destination_3,G4,9
A,source,17,Destination_3,G4,5
B,source,18,Destination_3,G4,6
C,source,19,Destination_3,G4,7
D,source,20,Destination_3,G4,8
E,source,21,Destination_3,G4,9
F,source,22,Destination_3,G4,10
1-pALD6,source,4,Destination_3,H4,8
2-pSAC6,source,10,Destination_3,H4,8
3-pRET2,source,14,Destination_3,H4,8
etc,source,16,Destination_3,H4,9
A,source,17,Destination_3,H4,5
B,source,18,Destination_3,H4,6
C,source,19,Destination_3,H4,7
D,source,20,Destination_3,H4,8
E,source,21,Destination_3,H4,9
F,source,22,Destination_3,H4,10
1-pALD6,source,4,Destination_3,A5,8
2-pSAC6,source,10,Destination_3,A5,8
3-pRNR1,source,15,Destination_3,A5,8
etc,source,16,Destination_3,A5,9
A,source,17,Destination_3,A5,5
B,source,18,Destination_3,A5,6
C,source,19,Destination_3,A5,7
D,source,20,Destination_3,A5,8
E,source,21,Destination_3,A5,9
F,source,22,Destination_3,A5,10
1-pRNR2,source,5,Destination_3,B5,8
2-pPGK1,source,6,Destination_3,B5,8
3-pCCW12,source,11,Destination_3,B5,8
etc,source,16,Destination_3,B5,9
A,source,17,Destination_3,B5,5
B,source,18,Destination_3,B5,6
C,source,19,Destination_3,B5,7
D,source,20,Destination_3,B5,8
E,source,21,Destination_3,B5,9
F,source,22,Destination_3,B5,10
1-pRNR2,source,5,Destination_3,C5,8
2-pPGK1,source,6,Destination_3,C5,8
3-pHHF2,source,12,Destination_3,C5,8
etc,source,16,Destination_3,C5,9
A,source,17,Destination_3,C5,5
B,source,18,Destination_3,C5,6
C,source,19,Destination_3,C5,7
D,source,20,Destination_3,C5,8
E,source,21,Destination_3,C5,9
F,source,22,Destination_3,C5,10
1-pRNR2,source,5,Destination_3,D5,8
2-pPGK1,source,6,Destination_3,D5,8
3-pRPL18B,source,13,Destination_3,D5,8
etc,source,16,Destination_3,D5,9
A,source,17,Destination_3,D5,5
B,source,18,Destination_3,D5,6
C,source,19,Destination_3,D5,7
D,source,20,Destination_3,D5,8
E,source,21,Destination_3,D5,9
F,source,22,Destination_3,D5,10
1-pRNR2,source,5,Destination_3,E5,8
2-pPGK1,source,6,Destination_3,E5,8
3-pRET2,source,14,Destination_3,E5,8
etc,source,16,Destination_3,E5,9
A,source,17,Destination_3,E5,5
B,source,18,Destination_3,E5,6
C,source,19,Destination_3,E5,7
D,source,20,Destination_3,E5,8
E,source,21,Destination_3,E5,9
F,source,22,Destination_3,E5,10
1-pRNR2,source,5,Destination_3,F5,8
2-pPGK1,source,6,Destination_3,F5,8
3-pRNR1,source,15,Destination_3,F5,8
etc,source,16,Destination_3,F5,9
A,source,17,Destination_3,F5,5
B,source,18,Destination_3,F5,6
C,source,19,Destination_3,F5,7
D,source,20,Destination_3,F5,8
E,source,21,Destination_3,F5,9
F,source,22,Destination_3,F5,10
1-pRNR2,source,5,Destination_3,G5,8
2-pTEF1,source,7,Destination_3,G5,8
3-pCCW12,source,11,Destination_3,G5,8
etc,source,16,Destination_3,G5,9
A,source,17,Destination_3,G5,5
B,source,18,Destination_3,G5,6
C,source,19,Destination_3,G5,7
D,source,20,Destination_3,G5,8
E,source,21,Destination_3,G5,9
F,source,22,Destination_3,G5,10
1-pRNR2,source,5,Destination_3,H5,8
2-pTEF1,source,7,Destination_3,H5,8
3-pHHF2,source,12,Destination_3,H5,8
etc,source,16,Destination_3,H5,9
A,source,17,Destination_3,H5,5
B,source,18,Destination_3,H5,6
C,source,19,Destination_3,H5,7
D,source,20,Destination_3,H5,8
E,source,21,Destination_3,H5,9
F,source,22,Destination_3,H5,10
1-pRNR2,source,5,Destination_3,A6,8
2-pTEF1,source,7,Destination_3,A6,8
3-pRPL18B,source,13,Destination_3,A6,8
etc,source,16,Destination_3,A6,9
A,source,17,Destination_3,A6,5
B,source,18,Destination_3,A6,6
C,source,19,Destination_3,A6,7
D,source,20,Destination_3,A6,8
E,source,21,Destination_3,A6,9
F,source,22,Destination_3,A6,10
1-pRNR2,source,5,Destination_3,B6,8
2-pTEF1,source,7,Destination_3,B6,8
3-pRET2,source,14,Destination_3,B6,8
etc,source,16,Destination_3,B6,9
A,source,17,Destination_3,B6,5
B,source,18,Destination_3,B6,6
C,source,19,Destination_3,B6,7
D,source,20,Destination_3,B6,8
E,source,21,Destination_3,B6,9
F,source,22,Destination_3,B6,10
1-pRNR2,source,5,Destination_3,C6,8
2-pTEF1,source,7,Destination_3,C6,8
3-pRNR1,source,15,Destination_3,C6,8
etc,source,16,Destination_3,C6,9
A,source,17,Destination_3,C6,5
B,source,18,Destination_3,C6,6
C,source,19,Destination_3,C6,7
D,source,20,Destination_3,C6,8
E,source,21,Destination_3,C6,9
F,source,22,Destination_3,C6,10
1-pRNR2,source,5,Destination_3,D6,8
2-pHHF1,source,8,Destination_3,D6,8
3-pCCW12,source,11,Destination_3,D6,8
etc,source,16,Destination_3,D6,9
A,source,17,Destination_3,D6,5
B,source,18,Destination_3,D6,6
C,source,19,Destination_3,D6,7
D,source,20,Destination_3,D6,8
E,source,21,Destination_3,D6,9
F,source,22,Destination_3,D6,10
1-pRNR2,source,5,Destination_3,E6,8
2-pHHF1,source,8,Destination_3,E6,8
3-pHHF2,source,12,Destination_3,E6,8
etc,source,16,Destination_3,E6,9
A,source,17,Destination_3,E6,5
B,source,18,Destination_3,E6,6
C,source,19,Destination_3,E6,7
D,source,20,Destination_3,E6,8
E,source,21,Destination_3,E6,9
F,source,22,Destination_3,E6,10
1-pRNR2,source,5,Destination_3,F6,8
2-pHHF1,source,8,Destination_3,F6,8
3-pRPL18B,source,13,Destination_3,F6,8
etc,source,16,Destination_3,F6,9
A,source,17,Destination_3,F6,5
B,source,18,Destination_3,F6,6
C,source,19,Destination_3,F6,7
D,source,20,Destination_3,F6,8
E,source,21,Destination_3,F6,9
F,source,22,Destination_3,F6,10
1-pRNR2,source,5,Destination_3,G6,8
2-pHHF1,source,8,Destination_3,G6,8
3-pRET2,source,14,Destination_3,G6,8
etc,source,16,Destination_3,G6,9
A,source,17,Destination_3,G6,5
B,source,18,Destination_3,G6,6
C,source,19,Destination_3,G6,7
D,source,20,Destination_3,G6,8
E,source,21,Destination_3,G6,9
F,source,22,Destination_3,G6,10
1-pRNR2,source,5,Destination_3,H6,8
2-pHHF1,source,8,Destination_3,H6,8
3-pRNR1,source,15,Destination_3,H6,8
etc,source,16,Destination_3,H6,9
A,source,17,Destination_3,H6,5
B,source,18,Destination_3,H6,6
C,source,19,Destination_3,H6,7
D,source,20,Destination_3,H6,8
E,source,21,Destination_3,H6,9
F,source,22,Destination_3,H6,10
1-pRNR2,source,5,Destination_3,A7,8
2-pPAB1,source,9,Destination_3,A7,8
3-pCCW12,source,11,Destination_3,A7,8
etc,source,16,Destination_3,A7,9
A,source,17,Destination_3,A7,5
B,source,18,Destination_3,A7,6
C,source,19,Destination_3,A7,7
D,source,20,Destination_3,A7,8
E,source,21,Destination_3,A7,9
F,source,22,Destination_3,A7,10
1-pRNR2,source,5,Destination_3,B7,8
2-pPAB1,source,9,Destination_3,B7,8
3-pHHF2,source,12,Destination_3,B7,8
etc,source,16,Destination_3,B7,9
A,source,17,Destination_3,B7,5
B,source,18,Destination_3,B7,6
C,source,19,Destination_3,B7,7
D,source,20,Destination_3,B7,8
E,source,21,Destination_3,B7,9
F,source,22,Destination_3,B7,10
1-pRNR2,source,5,Destination_3,C7,8
2-pPAB1,source,9,Destination_3,C7,8
3-pRPL18B,source,13,Destination_3,C7,8
etc,source,16,Destination_3,C7,9
A,source,17,Destination_3,C7,5
B,source,18,Destination_3,C7,6
C,source,19,Destination_3,C7,7
D,source,20,Destination_3,C7,8
E,source,21,Destination_3,C7,9
F,source,22,Destination_3,C7,10
1-pRNR2,source,5,Destination_3,D7,8
2-pPAB1,source,9,Destination_3,D7,8
3-pRET2,source,14,Destination_3,D7,8
etc,source,16,Destination_3,D7,9
A,source,17,Destination_3,D7,5
B,source,18,Destination_3,D7,6
C,source,19,Destination_3,D7,7
D,source,20,Destination_3,D7,8
E,source,21,Destination_3,D7,9
F,source,22,Destination_3,D7,10
1-pRNR2,source,5,Destination_3,E7,8
2-pPAB1,source,9,Destination_3,E7,8
3-pRNR1,source,15,Destination_3,E7,8
etc,source,16,Destination_3,E7,9
A,source,17,Destination_3,E7,5
B,source,18,Destination_3,E7,6
C,source,19,Destination_3,E7,7
D,source,20,Destination_3,E7,8
E,source,21,Destination_3,E7,9
F,source,22,Destination_3,E7,10
1-pRNR2,source,5,Destination_3,F7,8
2-pSAC6,source,10,Destination_3,F7,8
3-pCCW12,source,11,Destination_3,F7,8
etc,source,16,Destination_3,F7,9
A,source,17,Destination_3,F7,5
B,source,18,Destination_3,F7,6
C,source,19,Destination_3,F7,7
D,source,20,Destination_3,F7,8
E,source,21,Destination_3,F7,9
F,source,22,Destination_3,F7,10
1-pRNR2,source,5,Destination_3,G7,8
2-pSAC6,source,10,Destination_3,G7,8
3-pHHF2,source,12,Destination_3,G7,8
etc,source,16,Destination_3,G7,9
A,source,17,Destination_3,G7,5
B,source,18,Destination_3,G7,6
C,source,19,Destination_3,G7,7
D,source,20,Destination_3,G7,8
E,source,21,Destination_3,G7,9
F,source,22,Destination_3,G7,10
1-pRNR2,source,5,Destination_3,H7,8
2-pSAC6,source,10,Destination_3,H7,8
3-pRPL18B,source,13,Destination_3,H7,8
etc,source,16,Destination_3,H7,9
A,source,17,Destination_3,H7,5
B,source,18,Destination_3,H7,6
C,source,19,Destination_3,H7,7
D,source,20,Destination_3,H7,8
E,source,21,Destination_3,H7,9
F,source,22,Destination_3,H7,10
1-pRNR2,source,5,Destination_3,A8,8
2-pSAC6,source,10,Destination_3,A8,8
3-pRET2,source,14,Destination_3,A8,8
etc,source,16,Destination_3,A8,9
A,source,17,Destination_3,A8,5
B,source,18,Destination_3,A8,6
C,source,19,Destination_3,A8,7
D,source,20,Destination_3,A8,8
E,source,21,Destination_3,A8,9
F,source,22,Destination_3,A8,10
1-pRNR2,source,5,Destination_3,B8,8
2-pSAC6,source,10,Destination_3,B8,8
3-pRNR1,source,15,Destination_3,B8,8
etc,source,16,Destination_3,B8,9
A,source,17,Destination_3,B8,5
B,source,18,Destination_3,B8,6
C,source,19,Destination_3,B8,7
D,source,20,Destination_3,B8,8
E,source,21,Destination_3,B8,9
F,source,22,Destination_3,B8,10
